muni_code,pop,built-area
2710,54200, 10.18 
31,27800, 4.34 
2400,36700, 3.31 
1020,17800, 2.76 
2600,50700, 9.26 
1309,46900, 2.05 
3570,19600, 3.02 
70,222900, 19.95 
7100,137900, 19.33 
6000,29000, 7.46 
9000,207600, 30.22 
9200,17700, 4.05 
2610,114400, 8.91 
3780,54600, 2.52 
6100,193800, 6.64 
6200,128700, 6.53 
681,25800, 2.24 
6300,59500, 3.23 
2200,33700, 6.94 
9700,61100, 9.93 
6400,94000, 13.62 
6500,94000, 15.03 
6600,192600, 13.88 
4000,281100, 39.92 
6700,43700, 7.16 
2730,42400, 9.88 
2720,25700, 9.44 
2100,21300, 2.98 
8900,33400, 8.88 
2660,45500, 6.27 
9400,29700, 3.55 
240,22700, 3.43 
3000,901300, 75.70 
168,22500, 3.31 
6900,100000, 10.66 
634,22700, 7.02 
1139,45900, 8.17 
7000,74600, 8.50 
874,25400, 4.71 
3797,70100, 2.43 
1200,91300, 10.83 
3616,37800, 6.69 
1063,21300, 4.52 
9100,56100, 7.21 
7200,49100, 6.81 
7300,76600, 9.16 
1061,40600, 7.29 
2500,23700, 3.95 
246,33800, 4.70 
7400,214100, 19.92 
7500,30500, 5.36 
7600,48300, 7.29 
7700,49200, 8.86 
531,25000, 4.52 
2560,25500, 8.49 
7900,240400, 22.07 
8000,35300, 5.98 
638,22400, 6.77 
2620,39400, 3.32 
6800,57500, 9.44 
9500,39600, 4.54 
2630,53500, 8.34 
9600,39700, 3.57 
8200,41400, 3.18 
1034,22300, 2.99 
2800,22800, 5.27 
2640,50500, 7.45 
8300,249900, 24.59 
1161,66800, 11.25 
8400,138400, 13.99 
8500,75700, 8.68 
8600,156300, 13.13 
2650,46000, 7.41 
8700,72800, 9.60 
1031,25100, 4.11 
8800,41000, 8.89 
5000,443900, 40.24 
472,7300, 1.44 
473,13700, 2.47 
182,13700, 4.66 
3760,8700, 1.43 
565,12700, 1.98 
478,14200, 1.99 
41,3500, 1.04 
3750,7800, 1.28 
3560,3900, 0.74 
529,13000, 4.80 
3650,9100, 1.46 
2530,22900, 4.14 
482,9500, 1.68 
4001,6500, 2.04 
998,9100, 2.59 
3574,6100, 0.84 
3652,5000, 1.11 
480,11700, 3.42 
466,7100, 1.09 
1066,7000, 0.57 
9800,15600, 5.13 
1326,9500, 2.13 
944,7700, 2.14 
483,8100, 1.51 
3730,17300, 1.76 
1292,20600, 3.11 
2550,27500, 4.09 
485,6300, 2.09 
627,9800, 1.45 
166,23500, 4.47 
229,18200, 1.66 
541,14400, 1.06 
487,3100, 0.86 
628,11600, 4.28 
494,17200, 6.44 
489,10200, 1.84 
490,12100, 1.92 
492,10100, 1.98 
3769,4100, 0.94 
9300,23000, 5.62 
1290,6800, 4.60 
975,7800, 2.87 
1303,20800, 6.09 
496,6200, 1.86 
2034,9100, 2.31 
1247,3600, 1.23 
962,6500, 1.64 
498,13700, 2.44 
1295,6500, 2.00 
46,4300, 2.77 
29,1700, 1.65 
499,18700, 2.28 
831,9500, 3.08 
502,16700, 5.75 
504,13600, 2.92 
505,3500, 0.88 
1224,8900, 2.41 
1059,20300, 4.13 
1296,8500, 2.79 
978,5200, 1.25 
633,3500, 0.58 
1263,5500, 2.09 
507,9900, 1.41 
508,3300, 1.11 
509,22000, 4.18 
510,19300, 3.47 
654,18300, 6.02 
267,1900, 1.67 
47,4100, 1.53 
1271,6400, 2.13 
1060,12900, 3.68 
1015,24400, 3.65 
481,22300, 4.59 
516,15100, 2.49 
65,1900, 1.42 
4201,10900, 3.95 
28,14200, 2.37 
517,3800, 0.39 
43,1600, 1.08 
1268,7700, 3.23 
4203,3600, 1.48 
518,3200, 1.14 
3608,1200, 0.62 
1327,14600, 3.69 
99,5200, 1.45 
520,8100, 1.65 
522,12600, 1.87 
525,4100, 1.35 
587,3900, 3.45 
4501,2600, 0.20 
666,7600, 4.79 
530,5600, 1.31 
511,7900, 1.72 
532,12800, 1.46 
4502,2000, 0.81 
3660,3400, 0.46 
534,12100, 4.10 
637,24500, 6.18 
1192,17000, 4.05 
537,12900, 1.97 
535,3100, 1.19 
536,5800, 2.09 
7800,41100, 10.73 
171,5800, 0.94 
3557,4500, 1.22 
195,22000, 5.11 
4100,7100, 2.08 
3611,7300, 1.37 
2300,17700, 5.30 
1137,4800, 0.35 
469,10900, 2.07 
3640,7400, 1.73 
543,7600, 1.61 
26,3100, 2.61 
542,18700, 3.59 
922,11800, 1.28 
122,7700, 1.47 
913,5900, 1.47 
1286,9900, 3.04 
1304,20900, 2.64 
812,6200, 1.79 
538,6800, 0.79 
154,12600, 2.66 
1054,19700, 3.94 
