trainstop_id,stop_id
37290,28598
37290,37290
37290,27865
37290,29220
37290,28625
37290,37039
37290,27870
37292,36896
37292,36895
37292,36894
37292,13603
37292,13602
37292,13601
37292,13607
37292,13606
37292,14584
37292,29482
37292,13537
37292,13538
37292,36893
37292,36892
37292,37292
37292,14593
37294,35283
37294,37294
37294,33942
37294,33943
37296,831
37296,24848
37296,24994
37296,34104
37296,37296
37296,42313
37296,999
37298,23880
37298,23734
37298,37298
37298,35287
37298,35286
37298,16186
37298,21333
37298,24861
37300,37300
37300,14600
37300,16446
37300,38163
37300,38145
37300,38144
37300,15590
37300,38552
37300,38725
37302,37302
37302,748
37302,16028
37302,750
37304,830
37304,37304
37304,828
37304,39228
37306,37306
37306,23220
37306,24680
37308,37308
37308,28468
37308,28473
37310,37310
37310,12743
37310,12742
37312,37488
37312,25836
37312,36386
37312,27918
37312,37063
37312,37062
37312,37539
37312,37536
37312,36932
37312,36935
37312,37312
37312,36358
37312,37053
37312,38388
37312,36289
37312,37064
37312,36954
37312,36952
37312,26456
37312,26652
37312,37124
37312,37120
37312,37121
37312,37122
37312,37123
37312,28865
37312,37118
37312,37540
37312,36948
37314,28232
37314,26684
37314,37531
37314,37314
37314,12740
37314,40151
37314,40150
37314,42159
37314,26689
37314,42160
37314,26915
37316,27147
37316,27509
37316,37316
37316,28071
37316,27510
37318,10355
37318,10357
37318,11478
37318,37318
37318,10319
37318,42318
37318,42315
37318,11725
37318,11814
37318,10381
37320,10169
37320,37834
37320,37320
37322,42032
37322,11037
37322,11035
37322,11032
37322,11030
37322,11031
37322,35684
37322,37322
37322,41776
37324,27130
37324,37324
37326,25575
37326,41872
37326,26131
37326,41925
37326,27104
37326,37326
37328,16424
37328,15538
37328,15744
37328,15745
37328,16021
37328,16022
37328,37328
37328,35722
37328,15784
37330,37330
37330,131
37330,21338
37330,21339
37330,21797
37332,23671
37332,23670
37332,23676
37332,22261
37332,22260
37332,22262
37332,34082
37332,34080
37332,23192
37332,69
37332,37332
37334,37334
37334,15370
37336,21369
37336,37413
37336,38107
37336,37336
37336,21633
37336,16909
37336,37564
37336,37561
37336,37563
37336,23108
37336,37556
37336,22085
37336,37579
37336,37578
37336,21556
37336,42063
37338,16892
37338,37338
37338,16891
37338,23115
37338,22079
37340,21487
37340,37340
