trainstop_id,stop_id
37296,831
37296,24848
37296,24994
37296,34104
37296,24513
37296,37296
37296,42313
37296,999
37392,3627
37392,2861
37392,2214
37392,37392
37392,2209
37392,3593
37392,3596
37392,3595
37392,3594
37392,3288
37392,3281
37392,2190
37392,2191
37392,2192
37392,2196
37392,35812
37392,35811
37392,3559
37392,3558
37294,35283
37294,23654
37294,83
37294,92
37294,37294
37294,22975
37294,33942
37294,33943
42286,36178
42286,10514
42286,10515
42286,36243
42286,35153
42286,35152
42286,35151
42286,35156
42286,35155
42286,35154
42286,9432
42286,8667
42286,9049
42286,36144
42286,36784
42286,36782
42286,40778
42286,10758
42286,10754
42286,10757
42286,36512
42286,10271
42286,10846
42286,36304
42286,36316
42286,36441
42286,9181
42286,8851
42286,42300
42286,11865
42286,8617
42286,36473
42286,36477
42286,36588
42286,40026
42286,36204
42286,36334
42286,11574
42286,36344
42286,9553
42286,34273
42286,11630
42286,42286
42286,36451
42286,10573
42286,36225
42286,36484
42286,37260
42286,36404
42286,10776
42286,10775
42286,36360
42286,40019
42286,10789
42286,11734
37292,36896
37292,36895
37292,36894
37292,13603
37292,13602
37292,13601
37292,13607
37292,13606
37292,13319
37292,14584
37292,37051
37292,29482
37292,13537
37292,13538
37292,36893
37292,36892
37292,14318
37292,13355
37292,37292
37292,13609
37292,14595
37292,14593
37396,22134
37396,37396
37396,41321
37396,41320
37290,37290
37290,29220
37290,27865
37290,28598
37290,37039
37290,27870
37290,28625
37394,23036
37394,23035
37394,25325
37394,23185
37394,23066
37394,22164
37394,22163
37394,41599
37394,41600
37394,41601
37394,41779
37394,38162
37394,37394
37394,22252
37394,23025
37394,23072
37394,22177
37394,24713
37394,41788
37394,41679
37394,41674
37394,41781
37394,41780
37394,41783
37394,41782
37394,23026
37394,22188
37394,22189
37394,22220
37316,27495
37316,27496
37316,27147
37316,27509
37316,37316
37316,27493
37316,27485
37316,28071
37316,27510
37344,21316
37344,970
37344,24784
37344,24783
37344,24053
37344,24054
37344,24056
37344,24057
37344,24058
37344,23081
37344,37344
37344,786
37344,23971
37344,23974
37344,23975
37344,23980
37344,33940
37344,33941
37344,22102
37344,22103
38643,39781
38643,39784
38643,39785
38643,39779
38643,38643
38643,38674
37298,25328
37298,23880
37298,23734
37298,37298
37298,35287
37298,35286
37298,16186
37298,21333
37298,24861
42507,37708
42507,37709
42507,36371
42507,36411
42507,42442
42507,42441
42507,42539
42507,42519
42507,42304
42507,42305
42507,42306
42507,42307
42507,42308
42507,42309
42507,36133
42507,42423
42507,35788
42507,35789
42507,42543
42507,42507
42507,42538
42507,3960
42507,37699
42507,42537
42507,37696
42507,37697
42507,37698
42507,36456
42507,2402
42507,2403
42507,3870
42507,3871
42507,36298
42507,37388
41293,2216
41293,2989
41293,35808
41293,2268
41293,2269
41293,2266
41293,17456
41293,35654
41293,35656
41293,35653
41293,2288
41293,2289
41293,3394
41293,39267
41293,41293
37348,24763
37348,12959
37348,13429
37348,13428
37348,13163
37348,37348
37348,13257
37348,13170
37348,13430
37348,13431
37360,39045
37360,13221
37360,13220
37360,37360
37360,13117
37360,13948
37360,13949
37360,13942
37360,13946
37360,12936
37360,12944
37360,13232
37360,13950
37300,37300
37300,16446
37300,38163
37300,14600
37300,15746
37300,38145
37300,38144
37300,15725
37300,16159
37300,15590
37300,38552
37300,38725
37364,629
37364,199
37364,200
37364,37364
37364,23680
37364,23681
37364,201
37364,24460
37340,21487
37340,37340
37340,22334
37340,21635
37340,24185
37340,22329
37342,37342
37342,21549
37342,21540
37342,15694
37342,25352
37342,25353
37342,22430
37342,22431
37342,24389
37342,23972
37342,23973
37308,37308
37308,27899
37308,28468
37308,28270
37308,28473
37346,13404
37346,24078
37346,24079
37346,29629
37346,24083
37346,24081
37346,24084
37346,37346
37346,42440
37346,759
37346,42333
37346,22817
37346,24086
37346,25362
37346,13386
37346,13387
37346,13382
37346,13380
37346,13381
37346,42322
37346,21553
37346,13379
37346,13378
40584,20680
40584,40877
40584,40870
40584,40869
40584,40816
40584,40817
40584,19872
40584,40584
40584,6105
37368,1062
37368,1059
37368,3784
37368,3785
37368,3085
37368,3087
37368,37368
37368,42314
39260,39260
39260,39215
39260,39217
39260,39218
37328,16424
37328,15538
37328,15744
37328,15745
37328,16021
37328,16022
37328,37328
37328,35721
37328,35722
37328,35714
37328,15784
40583,40871
40583,40872
40583,40818
40583,40815
40583,40583
40583,40878
37326,25575
37326,41872
37326,25561
37326,26131
37326,41925
37326,27104
37326,37326
37324,28054
37324,28055
37324,27130
37324,37324
37322,42032
37322,11037
37322,11035
37322,11032
37322,11030
37322,11031
37322,35684
37322,11033
37322,41662
37322,41663
37322,41660
37322,37322
37322,11288
37322,11029
37322,11028
37322,41776
37320,10169
37320,37834
37320,37320
37320,40022
37320,10170
37320,10171
40581,40865
40581,40864
40581,40823
40581,40822
40581,40581
40581,40875
37362,29500
37362,37362
